Time (s),VP+ Power (W)
0,0.006951072642
0.1,0.02620672395
0.2,0.02269366434
0.3,0.02326965228
0.4,0.03986275855
0.5,0.03065934255
0.6,0.02373637065
0.7,0.04164528931
0.8,0.02703605504
0.9,0.03070427166
1,0.01036896796
1.1,0.02329239675
1.2,0.02593422299
1.3,0.03061441344
1.4,0.01958913117
1.5,0.01960553717
1.6,0.004828143746
1.7,0.002987728202
1.8,0.01036896796
1.9,0.03542725173
2,0.02700970644
2.1,0.02700970644
2.2,0.04182582067
2.3,0.04170643703
2.4,0.008519629635
2.5,0.02702288074
2.6,0.001146070418
2.7,-0.006232247615
2.8,0.04970835624
2.9,0.03251979946
3,0.02402354938
3.1,0.02697018353
3.2,0.03173505627
3.3,0.03393004541
3.4,0.03071924803
3.5,0.02846807935
3.6,0.01957272517
3.7,0.02146785861
3.8,-0.03009371925
3.9,0.03996016625
4,0.0148590228
4.1,-0.00254060412
4.2,0.002989189064
4.3,0.03062938981
4.4,0.0464829952
4.5,0.0339017237
4.6,0.06612691106
4.7,0.02903769139
4.8,0.02510105749
4.9,0.04014014852
5,0.01589493838
5.1,0.02700970644
5.2,0.03441561532
5.3,0.005352523195
5.4,0.00851189656
5.5,0.02326965228
5.6,0.03066790047
5.7,0.02438261839
5.8,0.02513787729
5.9,0.01404439284
6,-0.008072881782
6.1,0.01772127859
6.2,0.03612236319
6.3,0.0251746971
6.4,0.02429091782
6.5,0.01034364297
6.6,0.02594507393
6.7,0.02880068771
6.8,0.008524388451
6.9,0.02747034277
7,0.001146630247
7.1,0.01223741159
7.2,0.01169957296
7.3,0.01594154698
7.4,0.02699653214
7.5,0.01168000064
7.6,0.0290742161
7.7,0.02697018353
7.8,0.02697018353
7.9,0.006304727595
8,0.02748185569
8.1,0.02885698905
8.2,0.02591252112
8.3,0.04357139911
8.4,0.03065934255
8.5,0.01640679909
8.6,0.02146785861
8.7,0.03805624109
8.8,0.03071924803
8.9,0.01957272517
9,0.01296150158
9.1,0.004839953227
9.2,0.01959569357
9.3,0.01800074266
9.4,0.005365994057
9.5,0.004835229435
9.6,-0.0006985090901
9.7,0.02432148468
9.8,0.07452663775
9.9,0.02877253703
10,0.03441561532
10.1,0.03688554459
10.2,0.008495240704
10.3,0.01327685134
10.4,0.03999912932
10.5,0.01168489372
10.6,0.02183518485
10.7,0.04173191524
10.8,0.02510105749
10.9,0.01643431522
11,0.01487145689
11.1,0.02619134729
11.2,0.02118770862
11.3,0.0122195135
11.4,-0.005692484928
11.5,0.01958092817
11.6,0.01959569357
11.7,0.02332651345
11.8,0.02838470857
11.9,0.01033857797
12,0.005359258626
12.1,0.01407186111
12.2,0.019563155
12.3,0.01325463108
12.4,0.0385108606
12.5,0.01772127859
12.6,0.01401692458
12.7,0.03064436618
12.8,0.02622210062
12.9,0.0140924623
13,0.01220758144
13.1,0.01640679909
13.2,0.01957272517
13.3,0.01587163409
13.4,0.01482172051
13.5,0.008516060523
13.6,0.008524388451
13.7,0.01644119425
13.8,0.02325828005
13.9,0.01957272517
14,0.02750488153
14.1,0.03251979946
14.2,0.03067431892
14.3,0.02589081925
14.4,0.02513787729
14.5,0.02745882985
14.6,0.02143644501
14.7,0.02435205154
14.8,0.002987728202
14.9,0.0259667758
15,0.02695700923
15.1,0.003785405761
15.2,0.04328371073
15.3,0.03070427166
15.4,0.02322416334
15.5,0.02144691621
15.6,0.04172099601
15.7,0.04178796732
15.8,0.03814914361
15.9,0.01960553717
16,0.03813056311
16.1,0.01218968334
16.2,-0.00411667412
16.3,0.01035377297
16.4,0.008530336971
16.5,0.01775595512
16.6,0.02512560402
16.7,0.03548654309
16.8,0.02513787729
16.9,0.01804598876
17,0.02617597062
17.1,0.006939444131
17.2,0.00482578185
17.3,0.01771260946
17.4,0.02516549215
17.5,0.00853604755
17.6,0.04352883189
17.7,0.03699393837
17.8,0.04532724005
17.9,0.1542461696
18,0.3836907589
18.1,0.3713615487
18.2,0.3537394778
18.3,0.331811337
18.4,0.3179471329
18.5,0.310335061
18.6,0.3405486999
18.7,0.3216656434
18.8,0.3772536812
18.9,0.3390350185
19,0.2971039873
19.1,0.3599229299
19.2,0.317584395
19.3,0.3601179962
19.4,0.3405011713
19.5,0.3277171015
19.6,0.335793334
19.7,0.3408398125
19.8,0.3060986109
19.9,0.2840967624
20,0.2981924257
20.1,0.3229038167
20.2,0.3241057251
20.3,0.3116514245
20.4,0.3489889915
20.5,0.320414764
20.6,0.2995283688
20.7,0.334457657
20.8,0.2828130632
20.9,0.2849326766
21,0.3207540338
21.1,0.3459133853
21.2,0.3217882254
21.3,0.3131014359
21.4,0.2869156741
21.5,0.3392041714
21.6,0.3578477529
21.7,0.3071432238
21.8,0.3292972871
21.9,0.2917392082
22,0.3144171157
22.1,0.3410477501
22.2,0.3462557158
22.3,0.3268364293
22.4,0.326136916
22.5,0.3167238029
22.6,0.3497715975
22.7,0.3481316646
22.8,0.3138640549
22.9,0.2847236981
23,0.3118951577
23.1,0.3333331278
23.2,0.336915691
23.3,0.3090758836
23.4,0.3065956116
23.5,0.3309929904
23.6,0.3259512056
23.7,0.3246926965
23.8,0.2865122001
23.9,0.3619750042
24,0.2961340665
24.1,0.2944342122
24.2,0.3212617176
24.3,0.3105796273
24.4,0.2906030311
24.5,0.3074320582
24.6,0.279950808
24.7,0.3204860739
24.8,0.3257920639
24.9,0.3341967267
25,0.3346350951
25.1,0.3420587773
25.2,0.3107315608
25.3,0.3384945525
25.4,0.3197890093
25.5,0.3224175843
25.6,0.2954931404
25.7,0.2927083217
25.8,0.2996748961
25.9,0.3130328418
26,0.2990887869
26.1,0.3138894281
26.2,0.3735685624
26.3,0.329320279
26.4,0.3532958329
26.5,0.3430872274
26.6,0.3400163798
26.7,0.3435189566
26.8,0.333007636
26.9,0.347927018
27,0.3303230171
27.1,0.3419387711
27.2,0.3536334138
27.3,0.3611915974
27.4,0.339488019
27.5,0.3319539584
27.6,0.3034477186
27.7,0.3239474844
27.8,0.2678943214
27.9,0.2931613254
28,0.3400496498
28.1,0.3410715144
28.2,0.3178062592
28.3,0.317717051
28.4,0.3219455651
28.5,0.3234727621
28.6,0.2884539445
28.7,0.3224175843
28.8,0.3208840801
28.9,0.273876012
29,0.3233824568
29.1,0.3092722598
29.2,0.3440697068
29.3,0.3159506199
29.4,0.3296421667
29.5,0.3495465833
29.6,0.3417955233
29.7,0.327956729
29.8,0.3079825885
29.9,0.2968576927
30,0.2907450532
30.1,0.3075607423
30.2,0.3094929132
30.3,0.3486972001
30.4,0.3096439457
30.5,0.3484054088
30.6,0.295815671
30.7,0.3182359885
30.8,0.3079467946
30.9,0.3217882254
31,0.3244207646
31.1,0.2851715092
31.2,0.3007805319
31.3,0.2762580449
31.4,0.316921115
31.5,0.3285799373
31.6,0.3159167022
31.7,0.3134913455
31.8,0.3247366693
31.9,0.3125743382
32,0.3254737803
32.1,0.3158913376
32.2,0.3040586699
32.3,0.3131856764
32.4,0.3011401692
32.5,0.302549672
32.6,0.3105796273
32.7,0.3386364763
32.8,0.3084961833
32.9,0.327228009
33,0.3282768146
33.1,0.3062739013
33.2,0.3038054391
33.3,0.3294812229
33.4,0.3478218261
33.5,0.323282297
33.6,0.3070460059
33.7,0.3040305519
33.8,0.3084961833
33.9,0.335872253
34,0.3219349273
34.1,0.2999679507
34.2,0.323111849
34.3,0.3295456004
34.4,0.3028142279
34.5,0.3778090315
34.6,0.3167238029
34.7,0.323111849
34.8,0.3026875298
34.9,0.3015176736
35,0.3148783224
35.1,0.3132327679
35.2,0.3173249823
35.3,0.3131014359
35.4,0.3271565149
35.5,0.3645282335
35.6,0.3328754856
35.7,0.3499424527
35.8,0.304014319
35.9,0.3245804473
36,0.3628608165
36.1,0.3276366434
36.2,0.3450991421
36.3,0.3275798117
36.4,0.3355059023
36.5,0.3604865517
36.6,0.3423932794
36.7,0.313626764
36.8,0.3392004675
36.9,0.3349331379
37,0.3595205762
37.1,0.3234727621
37.2,0.3262735439
37.3,0.3256329221
37.4,0.333007636
37.5,0.3616569549
37.6,0.3496007422
37.7,0.3422260284
37.8,0.3367428275
37.9,0.3181026705
38,0.364706297
38.1,0.3294812229
38.2,0.3266834277
38.3,0.3073462688
38.4,0.3213963595
38.5,0.3418915262
38.6,0.305053998
38.7,0.3249646283
38.8,0.2847933576
38.9,0.3072261636
39,0.3065956116
39.1,0.3302859421
39.2,0.3341777814
39.3,0.2956998908
39.4,0.3134913455
39.5,0.3698812055
39.6,0.3190122942
39.7,0.2802240399
39.8,0.2820722235
39.9,0.3069173218
40,0.3074964002
40.1,0.3450786195
40.2,0.3412225324
40.3,0.309438794
40.4,0.3123072566
40.5,0.3054664824
40.6,0.3146002557
40.7,0.3392041714
40.8,0.2976864924
40.9,0.3532958329
41,0.3147245868
41.1,0.2907450532
41.2,0.3476959635
41.3,0.3422260284
41.4,0.3343603736
41.5,0.3246926965
41.6,0.3428950327
41.7,0.3165691663
41.8,0.3265467997
41.9,0.2951533333
42,0.3144171157
42.1,0.3188803588
42.2,0.3178062592
42.3,0.3159995756
42.4,0.2876167745
42.5,0.313626764
42.6,0.304834673
42.7,0.3066599536
42.8,0.3035087804
42.9,0.3117845765
43,0.3113392948
43.1,0.2948656848
43.2,0.3116351416
43.3,0.2646621248
43.4,0.2990230141
43.5,0.3184137458
43.6,0.3087377509
43.7,0.3077201069
43.8,0.2978321187
43.9,0.295009509
44,0.3185692835
44.1,0.2883332042
44.2,0.2808345708
44.3,0.2959893413
44.4,0.3019599586
44.5,0.2870558942
44.6,0.3170330762
44.7,0.2995245108
44.8,0.2889004737
44.9,0.2874765544
45,0.2545268488
45.1,0.3058001501
45.2,0.3265467997
45.3,0.3091908483
45.4,0.296423517
45.5,0.3116539064
45.6,0.3296421667
45.7,0.331431928
45.8,0.3538060711
45.9,0.313626764
46,0.2868831431
46.1,0.3713615487
46.2,0.3507967288
46.3,0.369574432
46.4,0.3721181211
46.5,0.3317595283
46.6,0.3416522756
46.7,0.3167238029
46.8,0.3142836534
46.9,0.3454149238
47,0.3465919886
47.1,0.3308774726
47.2,0.3962728473
47.3,0.3790995978
47.4,0.3609009971
47.5,0.3460824385
47.6,0.3346876675
47.7,0.2992737625
47.8,0.3070460059
47.9,0.3227145765
48,0.351478772
48.1,0.3387784001
48.2,0.1961911512
48.3,0.173003753
48.4,0.1742807732
48.5,0.1559382558
48.6,0.1903206599
48.7,0.1145837466
48.8,0.02336063016
48.9,0.02189909329
49,0.03346703161
49.1,0.02751639445
49.2,0.04352883189
49.3,0.01169467988
49.4,0.008524388451
49.5,0.02329239675
49.6,0.02513787729
49.7,0.02691748632
49.8,0.01956554754
49.9,0.01404439284
50,0.03059943707
50.1,0.03250392206
50.2,0.03245628985
50.3,0.03697845354
50.4,0.03990172163
50.5,0.01587163409
50.6,0.03434850157
50.7,0.03227640769
50.8,0.03244041244
50.9,0.006945258386
51,0.05269114155
51.1,0.01487145689
51.2,0.02695700923
51.3,0.02881476304
51.4,0.02428072887
51.5,0.03615772213
51.6,0.02326965228
51.7,0.02432148468
51.8,0.02331514122
51.9,0.01960553717
52,0.03621076055
52.1,0.008528552415
52.2,0.02148880101
52.3,0.01403752578
52.4,0.02274129918
52.5,0.001879853156
52.6,0.03066790047
52.7,0.02880068771
52.8,0.005359258626
52.9,0.03436528
53,0.01217775128
53.1,0.01803844774
53.2,0.01774728599
53.3,0.04168605445
53.4,0.02747034277
53.5,0.02694383493
53.6,0.0329370684
53.7,0.00482578185
53.8,0.03470544254
53.9,0.01963014617
54,0.01958708042
54.1,0.01407872817
54.2,0.03223591108
54.3,0.02328102452
54.4,0.01167510756
54.5,0.02328102452
54.6,0.02587996831
54.7,0.01407186111
54.8,0.02877253703
54.9,0.019620576
55,0.02628360728
55.1,0.01589493838
55.2,0.01038416295
55.3,0.00695397977
55.4,0.008530336971
55.5,0.01515894853
55.6,0.03074920077
55.7,0.03223591108
55.8,0.01587940219
55.9,0.01401692458
56,0.03062938981
56.1,0.004821058058
56.2,0.02435205154
56.3,0.02697018353
56.4,0.02430110678
56.5,0.01221354747
56.6,0.01955358483
56.7,0.002197966441
56.8,0.004821058058
56.9,0.04800414854
57,0.04164528931
57.1,0.02884291371
57.2,0.02518697037
57.3,0.008519629635
57.4,0.01405125991
57.5,0.003780656281
57.6,0.01588717029
57.7,0.01035377297
57.8,-0.004364092104
57.9,0.02900116667
58,0.04523850149
58.1,0.02328102452
58.2,0.02433167363
58.3,0.02328102452
58.4,0.02745882985
58.5,0.01775595512
58.6,0.03438205844
58.7,0.0259667758
58.8,0.03062938981
58.9,0.02396723267
59,-0.01728282364
59.1,0.03996016625
59.2,0.03622844002
59.3,0.02439280735
59.4,0.02702288074
59.5,0.01958913117
59.6,0.00188979177
59.7,0.01221354747
59.8,0.02116111367
59.9,0.01515894853
60,0.03245628985
60.1,0.03250392206
60.2,0.02120543859
60.3,0.02619134729
60.4,0.03699393837
60.5,0.01958229533
60.6,0.01168000064
60.7,0.01955358483
60.8,0.04548253254
60.9,0.04176758474
61,0.0267857433
61.1,0.04014014852
61.2,0.01071480496
61.3,0.02690431202
61.4,0.02590167018
61.5,0.01772994773
61.6,0.01642743619
61.7,0.03220891333
61.8,-0.0006981678848
61.9,0.02892736573
62,0.02334925792
62.1,0.02687796342
62.2,0.02278893402
62.3,0.01779063166
62.4,0.0132824064
62.5,0.0195918655
62.6,-0.01727437313
62.7,0.02752790737
62.8,0.03224940995
62.9,0.01591047458
63,0.01957272517
63.1,0.01772994773
63.2,0.04820533566
63.3,0.04534942469
63.4,0.03061441344
63.5,0.006936537003
63.6,0.03798191907
63.7,0.02877253703
63.8,0.03547172025
63.9,0.02282704189
64,0.03636987579
64.1,0.03696296872
64.2,0.006942351258
64.3,0.04171051354
64.4,0.04488269098
64.5,0.008519629635
64.6,0.02399539102
64.7,0.02430110678
64.8,0.02277940705
64.9,0.01776462426
65,0.01960143567
65.1,0.03061441344
65.2,0.01799320165
65.3,0.01591824268
65.4,0.01403752578
65.5,0.02912291572
65.6,0.03994068471
65.7,0.04166858368
65.8,0.03441561532
65.9,0.01740213908
66,0.04183280898
66.1,0.006942351258
66.2,0.01072739345
66.3,0.02881476304
66.4,0.03694748389
66.5,0.01331018172
66.6,0.04554908646
66.7,0.01326574121
66.8,0.01595708318
66.9,0.03064736145
67,0.025193107
67.1,0.0400380924
67.2,0.03381675856
67.3,0.02428072887
67.4,0.02324690781
67.5,0.02324690781
67.6,0.03439883688
67.7,0.02595592487
67.8,0.0435501155
67.9,0.04024100127
68,0.02694383493
68.1,0.01591047458
68.2,0.02275082614
68.3,0.02331514122
68.4,0.01958229533
68.5,0.03854315422
68.6,0.01778196252
68.7,0.02702288074
68.8,0.01959733417
68.9,0.0372633886
69,0.03900752789
69.1,0.03070427166
69.2,0.01405812698
69.3,0.002984806477
69.4,0.02120543859
69.5,0.01801582469
69.6,0.01741232579
69.7,0.01956452217
69.8,0.04891324397
69.9,0.03541242889
70,0.02516242383
70.1,0.02506423768
70.2,0.03242453504
70.3,0.0132990716
70.4,-0.002548057555
70.5,0.0195918655
70.6,0.03219541446
70.7,0.002990649926
70.8,0.02143644501
70.9,0.02756244613
71,0.0362991579
71.1,-0.00254060412
71.2,0.03481389737
71.3,0.01590270648
71.4,0.03251979946
71.5,0.02433167363
71.6,0.04180834989
71.7,0.01594931508
71.8,0.01957272517
71.9,0.03248804465
72,0.03059943707
72.1,-0.006232247615
72.2,0.01960717777
72.3,0.02433167363
72.4,0.04367781714
72.5,0.03388756285
72.6,0.03378843685
72.7,0.03805624109
72.8,0.006683071873
72.9,0.03986275855
73,0.005368239201
73.1,0.004835229435
73.2,0.04178796732
73.3,0.03073208492
73.4,0.02508878422
73.5,0.02142597381
73.6,0.01958092817
73.7,0.02329239675
73.8,0.02112565373
73.9,0.02115224869
74,0.02850142766
74.1,0.03803766058
74.2,0.03069678347
74.3,0.03513432215
74.4,0.03548654309
74.5,0.01960553717
74.6,0.008532716379
74.7,0.006673283083
74.8,0.01405125991
74.9,0.01960553717
75,0.02747034277
75.1,0.02510105749
75.2,0.02748185569
75.3,0.005365994057
75.4,0.0329370684
75.5,0.04015695731
75.6,0.03247216725
75.7,0.03803766058
75.8,0.02138408901
75.9,0.0211433837
76,0.008528552415
76.1,-0.002545573077
76.2,0.02142597381
76.3,0.01410619643
76.4,0.02752790737
76.5,0.0305844607
76.6,0.01484037165
76.7,0.03061441344
76.8,0.02881476304
76.9,0.01009558404
77,0.02510105749
77.1,0.03730711682
77.2,0.01290835944
77.3,0.02757395905
77.4,0.02432148468
77.5,0.03980431394
77.6,0.02512560402
77.7,0.02115224869
77.8,0.03813056311
77.9,0.01801582469
78,0.02184796654
78.1,0.02150974341
78.2,-0.0006985090901
78.3,0.0287584617
78.4,0.04160452416
78.5,0.02882883838
78.6,0.02274129918
78.7,0.002990649926
78.8,0.02587996831
78.9,0.02689113772
79,0.03242453504
79.1,0.00300525855
79.2,0.05087505391
79.3,0.02511333076
79.4,0.04798402982
79.5,0.02752790737
79.6,0.01222547953
79.7,0.01515894853
79.8,0.03059569298
79.9,0.02885698905
80,0.01959569357
80.1,0.03886479523
80.2,0.02115224869
80.3,0.02508878422
80.4,0.02511333076
80.5,0.03223591108
80.6,0.04530505541
80.7,0.01219564937
80.8,0.02691748632
80.9,0.02586911738
81,0.01958229533
81.1,0.02782434919
81.2,0.01036390296
81.3,0.02143644501
81.4,0.03538278321
81.5,0.01961100583
81.6,0.04177340834
81.7,0.01586386599
81.8,0.02689113772
81.9,0.02878661237
82,0.01646871038
82.1,-0.002544330837
82.2,-0.002538119642
82.3,0.02702288074
82.4,0.01323796589
82.5,0.02516242383
82.6,0.02519924363
82.7,0.02434186258
82.8,0.01218968334
82.9,0.02911074081
83,0.004095796445
83.1,0.02506423768
83.2,0.03857544784
83.3,0.02891329039
83.4,0.02143644501
83.5,0.04170643703
83.6,0.03539760605
83.7,0.0251746971
83.8,0.01964655217
83.9,0.00854520827
84,0.01219564937
84.1,0.01513228086
84.2,0.03628147843
84.3,0.03061655292
84.4,0.02699653214
84.5,0.03628147843
84.6,0.03248804465
84.7,0.0307342244
84.8,0.02750488153
84.9,-0.0006985090901
85,0.01480928641
85.1,0.004839953227
85.2,0.008537475194
85.3,-0.009911713882
85.4,0.02843473104
85.5,0.02926875762
85.6,0.01224337762
85.7,0.02324690781
85.8,0.03068073736
85.9,0.04182873246
86,0.05642827398
86.1,0.03056948433
86.2,0.02326965228
86.3,0.02331514122
86.4,0.03061655292
86.5,0.002995032513
86.6,0.01218968334
86.7,0.02328102452
86.8,0.02586911738
86.9,0.03233040318
87,0.01223144556
87.1,0.01599592367
87.2,0.01773861686
