Time (s),VP+ Power (W),
28.7,-0.004125308,
28.8,0.019649287,
28.9,0.013249076,
29,0.00114607,
29.1,0.012201615,
29.2,0.015871634,
29.3,0.00377749,
29.4,0.025137877,
29.5,-0.004130488,
29.6,-0.028353345,
29.7,0.000618184,
29.8,0.01770394,
29.9,-0.008068936,
30,0.019638349,
30.1,0.012183717,
30.2,0.023190047,
30.3,-0.005706817,
30.4,0.012201615,
30.5,0.004083788,
30.6,0.025836565,
30.7,-0.010425098,
30.8,0.002983346,
30.9,0.000618961,
31,0.017721279,
31.1,0.005354768,
31.2,0.022402422,
31.3,-0.022800002,
31.4,0.010070197,
31.5,0.017764624,
31.6,0.017764624,
31.7,0.00482342,
31.8,0.002204415,
31.9,0.002986267,
32,0.030749201,
32.1,0.008528552,
32.2,0.019572725,
32.3,0.00114663,
32.4,-0.005706817,
32.5,0.019671161,
32.6,0.012297072,
32.7,-0.018083373,
32.8,0.007154907,
32.9,0.012183717,
33,0.025912521,
33.1,0.012237412,
33.2,0.015871634,
33.3,0.008528552,
33.4,0.022788934,
33.5,0.019563155,
33.6,-0.006256602,
33.7,0.011684894,
33.8,0.017747286,
33.9,0.032303405,
34,-0.006229203,
34.1,0.026237477,
34.2,0.019553585,
34.3,0.023337886,
34.4,0.014071861,
34.5,0.006683072,
34.6,-0.005694874,
34.7,0.012243378,
34.8,0.00538171,
34.9,0.014871457,
35,0.035072622,
35.1,0.03062939,
35.2,0.019611006,
35.3,0.012231446,
35.4,0.019671161,
35.5,-0.000698168,
35.6,-0.000961886,
35.7,0.006308427,
35.8,-0.017743518,
35.9,0.010338578,
36,-0.004381238,
36.1,0.008545208,
36.2,0.010163282,
36.3,0.008566028,
36.4,-0.006232248,
36.5,0.006956887,
36.6,0.023315141,
36.7,0.017721279,
36.8,0.019582295,
36.9,0.016427436,
37,0.014092462,
37.1,0.024352052,
37.2,0.010389228,
37.3,-0.016361435,
37.4,0.001875436,
37.5,-0.010442596,
37.6,0.005352523,
37.7,0.008516061,
37.8,0.014064994,
37.9,0.004844677,
38,0.021187709,
38.1,0.012249344,
38.2,0.003783823,
38.3,-0.002543089,
38.4,-0.008064991,
38.5,-0.002541846,
38.6,0.006930723,
38.7,-0.000698168,
38.8,0.010368968,
38.9,-0.005697262,
39,-0.013610566,
39.1,0.010379098,
39.2,0.002192439,
39.3,0.030599437,
39.4,-0.000697485,
39.5,0.008526768,
39.6,0.011680001,
39.7,0.006679809,
39.8,0.010353773,
39.9,0.010374033,
40,0.006951073,
40.1,0.021446916,
40.2,0.006666757,
40.3,0.002981154,
40.4,0.022722245,
40.5,0.02888514,
40.6,-0.011345852,
40.7,0.035382783,
40.8,-0.006217026,
40.9,0.003788572,
41,0.00114719,
41.1,0.019580928,
41.2,0.023303769,
41.3,-0.017282824,
41.4,0.015894938,
41.5,0.005359259,
41.6,0.004832868,
41.7,-0.010460095,
41.8,-0.009892328,
41.9,-0.007273073,
42,0.010368968,
42.1,0.023303769,
42.2,0.02147833,
42.3,-0.009931099,
42.4,0.005348033,
42.5,-0.002541846,
42.6,0.006927816,
42.7,0.025113331,
42.8,0.003000876,
42.9,-0.008884687,
43,0.004830506,
43.1,0.029110741,
43.2,0.021415503,
43.3,0.055303333,
43.4,-0.000960678,
43.5,0.012243378,
43.6,-0.015447596,
43.7,0.014846589,
43.8,-0.011760239,
43.9,-0.004128761,
44,0.023349258,
44.1,0.014058127,
44.2,0.011704466,
44.3,0.056649001,
44.4,0.001608,
44.5,0.010353773,
44.6,0.004830506,
44.7,0.008524388,
44.8,0.013265741,
44.9,0.001149989,
45,0.029135091,
45.1,-0.026496711,
45.2,0.017721279,
45.3,0.001141592,
45.4,0.008507733,
45.5,-0.011737249,
45.6,-0.000959872,
45.7,-0.004754725,
45.8,0.029376012,
45.9,0.008546041,
46,0.000618443,
46.1,-0.004385525,
46.2,0.002989189,
46.3,-0.002542467,
46.4,0.024341863,
46.5,0.015902706,
46.6,0.015902706,
46.7,0.019572725,
46.8,0.028786612,
46.9,0.019649287,
47,0.005354768,
47.1,0.008516061,
47.2,0.02888514,
47.3,-0.000699192,
47.4,0.001872123,
47.5,0.004366606,
47.6,-0.020219397,
47.7,0.01817063,
47.8,0.021457387,
47.9,0.012231446,
48,0.010133664,
48.1,0.021822403,
48.2,0.027401265,
48.3,0.00854729,
48.4,0.005365994,
48.5,0.004832868,
48.6,0.025064238,
48.7,0.013237966,
48.8,0.028772537,
48.9,0.001144391,
49,0.030719248,
49.1,0.015432133,
49.2,0.010727393,
49.3,0.015894938,
49.4,0.002992111,
49.5,0.002199809,
49.6,0.008532716,
49.7,0.021196574,
49.8,0.02891329,
49.9,0.02522379,
50,0.013282406,
50.1,0.030674319,
50.2,0.004856486,
50.3,0.004832868,
50.4,-0.006232248,
50.5,0.000618184,
50.6,0.012195649,
50.7,-0.010416348,
50.8,0.001883166,
50.9,-0.005706817,
51,0.021152249,
51.1,-0.01359062,
51.2,0.017729948,
51.3,0.026943835,
51.4,0.045504717,
51.5,-0.009906868,
51.6,-0.019097546,
51.7,-0.000697485,
51.8,0.009887254,
51.9,0.019553585,
52,0.015894938,
52.1,0.012195649,
52.2,0.017773293,
52.3,-0.003916933,
52.4,-0.013597269,
52.5,0.002981885,
52.6,0.017721279,
52.7,0.014921193,
52.8,0.004821058,
52.9,0.015863866,
53,0.002995033,
53.1,0.014914976,
53.2,-0.013597269,
53.3,0.019589131,
53.4,0.019572725,
53.5,-0.013517487,
53.6,-0.009911714,
53.7,0.00114663,
53.8,0.019556319,
53.9,0.021425974,
54,0.006689598,
54.1,0.030603716,
54.2,0.002984806,
54.3,-0.00253741,
54.4,0.001143831,
54.5,0.006312126,
54.6,0.029290209,
54.7,0.008520224,
54.8,-0.002538475,
54.9,0.004842315,
55,-0.006223115,
55.1,-0.013603917,
55.2,0.01770394,
55.3,-0.002541669,
55.4,0.008522306,
55.5,-0.004123581,
55.6,-0.0025493,
55.7,0.008512491,
55.8,0.015972619,
55.9,0.002995033,
56,0.002993572,
56.1,-0.021521912,
56.2,0.032551554,
56.3,0.015894938,
56.4,0.005739239,
56.5,0.013260186,
56.6,0.028800688,
56.7,0.017738617,
56.8,0.014821721,
56.9,0.012183717,
57,-0.002539539,
57.1,0.010358838,
57.2,-0.000696121,
57.3,-0.008821571,
57.4,0.023303769,
57.5,0.030616553,
57.6,0.006945258,
57.7,0.001143831,
57.8,0.026970184,
57.9,-0.022811156,
58,-0.018266678,
58.1,0.006666757,
58.2,-0.010438222,
58.3,-0.004113221,
58.4,0.063799384,
58.5,0.001144951,
58.6,0.011684894,
58.7,0.017712609,
58.8,0.002198888,
58.9,0.017712609,
59,0.010389228,
59.1,-0.002548058,
59.2,0.00061948,
59.3,0.02139456,
59.4,0.014085595,
59.5,0.023303769,
59.6,0.014092462,
59.7,-0.013614365,
59.8,0.01222548,
59.9,-0.017333527,
60,0.018008284,
60.1,-0.030211781,
60.2,-0.019915363,
60.3,-0.002548058,
60.4,-0.002533151,
60.5,-0.000962692,
60.6,0.010358838,
60.7,0.019611006,
60.8,0.008516061,
60.9,-0.006223115,
61,-0.001158521,
61.1,-0.011777481,
61.2,0.006653706,
61.3,0.003782239,
61.4,-0.002533151,
61.5,0.001144951,
61.6,-0.007297479,
61.7,0.025113331,
61.8,-0.004391955,
61.9,0.006959794,
62,0.004832868,
62.1,0.006679809,
62.2,0.00114775,
62.3,0.018023366,
62.4,-0.008080772,
62.5,0.00851963,
62.6,-0.017299725,
62.7,0.014085595,
62.8,0.012213547,
62.9,0.003763242,
63,0.028828838,
63.1,0.016413678,
63.2,0.005363749,
63.3,-0.002540604,
63.4,-0.030226539,
63.5,0.014790635,
63.6,0.004078984,
63.7,0.019582295,
63.8,0.005732911,
63.9,-0.000329078,
64,-0.007270022,
64.1,0.006922001,
64.2,0.019630146,
64.3,-0.000698509,
64.4,0.011305046,
64.5,0.025101057,
64.6,0.021745713,
64.7,-0.003927003,
64.8,0.008520224,
64.9,0.012237412,
65,0.013282406,
65.1,-0.002540604,
65.2,0.006297329,
65.3,-0.008053155,
65.4,0.006278833,
65.5,0.002989189,
65.6,0.004828144,
65.7,0.014914976,
65.8,0.01770394,
65.9,-0.000699192,
66,0.016454952,
66.1,-0.000698509,
66.2,0.016434315,
66.3,0.017764624,
66.4,0.012201615,
66.5,-0.005694874,
66.6,0.014126798,
66.7,-0.019134953,
66.8,0.003779073,
66.9,0.004832868,
67,0.00693363,
67.1,-0.008064991,
67.2,0.012207581,
67.3,0.019544015,
67.4,0.022451569,
67.5,0.012201615,
67.6,0.015894938,
67.7,0.002202572,
67.8,0.000621294,
67.9,0.019630146,
68,-0.004120128,
68.1,0.010343643,
68.2,0.001145511,
68.3,0.003774324,
68.4,0.000223726,
68.5,-0.010411974,
68.6,0.004816334,
68.7,0.008507733,
68.8,0.005368239,
68.9,0.011684894,
69,-0.004381238,
69.1,-0.017333527,
69.2,-0.008068936,
69.3,0.002989189,
69.4,0.016796231,
69.5,-0.011754491,
69.6,0.002197045,
69.7,0.021405031,
69.8,0.016434315,
69.9,-0.000698168,
70,0.01770394,
70.1,0.003774324,
70.2,0.008507733,
70.3,0.023303769,
70.4,-0.008064991,
70.5,-0.013517487,
70.6,0.001143831,
70.7,-0.007288327,
70.8,0.00114831,
70.9,0.002997954,
71,0.001149429,
71.1,0.013276851,
71.2,0.010399358,
71.3,0.002201651,
71.4,0.012237412,
71.5,0.00853688,
71.6,0.005357013,
71.7,0.021425974,
71.8,0.027470343,
71.9,0.002981885,
72,0.002989189,
72.1,0.023269652,
72.2,0.018038448,
72.3,0.005359259,
72.4,-0.011379255,
72.5,-0.024653933,
72.6,0.003788572,
72.7,0.038111983,
72.8,0.01405126,
72.9,0.017729948,
73,0.032195414,
73.1,0.019553585,
73.2,0.043613966,
73.3,0.000619739,
73.4,-0.017274373,
73.5,-0.024653933,
73.6,0.004835229,
73.7,0.012231446,
73.8,0.003779073,
73.9,-0.004379095,
74,0.002989189,
74.1,0.035397606,
74.2,0.004830506,
74.3,0.014846589,
74.4,-0.006244425,
74.5,-0.008116281,
74.6,0.017738617,
74.7,-0.008854985,
74.8,-0.004125308,
74.9,0.021809621,
75,0.03062939,
75.1,0.005370484,
75.2,0.01514117,
75.3,0.00695398,
75.4,0.017747286,
75.5,0.014064994,
75.6,-0.015164071,
75.7,0.032599186,
75.8,0.005372729,
75.9,0.039862759,
76,-0.004381238,
76.1,-0.004109767,
76.2,0.019601436,
76.3,-0.000698168,
76.4,0.033774276,
76.5,0.047214387,
76.6,0.018076153,
76.7,0.006689598,
76.8,-0.000699533,
76.9,0.008532716,
77,-0.01046447,
77.1,0.008503569,
77.2,0.005348033,
77.3,0.006924908,
77.4,0.021847967,
77.5,0.019544015,
77.6,0.014037526,
77.7,0.003788572,
77.8,-0.026211468,
77.9,-0.004383382,
78,-0.020968379,
78.1,0.011724038,
78.2,-0.008068936,
78.3,0.025101057,
78.4,0.008508922,
78.5,0.004825782,
78.6,0.004107805,
78.7,0.006676546,
78.8,0.019597334,
78.9,0.022855623,
79,0.008531051,
79.1,-0.013577323,
79.2,0.032472167,
79.3,0.016783903,
79.4,0.025137877,
79.5,-0.013583972,
79.6,0.019630146,
79.7,0.026904312,
79.8,0.014846589,
79.9,0.002983346,
80,0.003774324,
80.1,0.025162424,
80.2,-0.004123581,
80.3,-0.004391955,
80.4,0.014030659,
80.5,0.014034092,
80.6,0.014099329,
80.7,0.00114775,
80.8,0.021143384,
80.9,-0.004376952,
81,0.030674319,
81.1,0.027447317,
81.2,-0.005697262,
81.3,0.010389228,
81.4,0.025137877,
81.5,0.015212284,
81.6,0.001883166,
81.7,-0.018328155,
81.8,-0.004118401,
81.9,0.006650443,
82,-0.013597269,
82.1,0.010108277,
82.2,0.01225531,
82.3,-0.011811965,
82.4,0.015894938,
82.5,-0.018030508,
82.6,0.012189683,
82.7,0.021152249,
82.8,-0.004383382,
82.9,0.010384163,
83,0.011684894,
83.1,0.001144391,
83.2,0.014010058,
83.3,0.008533906,
83.4,-0.008061046,
83.5,-0.008080772,
83.6,0.011680001,
83.7,0.023349258,
83.8,0.014846589,
83.9,0.010348708,
84,0.008503569,
84.1,0.034348502,
84.2,0.02427054,
84.3,0.036140043,
84.4,-0.013603917,
84.5,-0.020937621,
84.6,0.006319525,
84.7,-0.006677045,
84.8,-0.009911714,
84.9,-0.032025043,
